 
 
 
 
 
 
                         MATH/LIBRARY ROUTINE LIST
 
 
Routine      Library      Diskette       Routine      Library      Diskette
CSWAP    BLAS                2           DWRRRL   DMATH10            40
ZSWAP    BLAS                2           WRRRN    SMATH10            21
TDATE    SMATH10, DMATH10   21, 40       DWRRRN   DMATH10            40
TRNRR    SMATH9             20           SXYZ     BLAS                2
DTRNRR   DMATH9             39           DXYZ     BLAS                2
TWODQ    SMATH4A            11           ZANLY    SMATH7             17
DTWODQ   DMATH4A            30           DZANLY   DMATH7             36
UMACH    MATHCORE            1           ZBREN    SMATH7             17
UMCGF    SMATH8A            18           DZBREN   DMATH7             36
DUMCGF   DMATH8A            37           ZPLRC    SMATH7             17
UMCGG    SMATH8A            18           DZPLRC   DMATH7             36
DUMCGG   DMATH8A            37           ZPOCC    SMATH7             17
UMIAH    SMATH8A            18           DZPOCC   DMATH7             36
DUMIAH   DMATH8A            37           ZPORC    SMATH7             17
 
 
 
                                      22
 
 
 
 
 
 
 
 
 
Routine      Library      Diskette
-------      -------      --------
 
DZPORC   DMATH7             36
ZQADD    SMATH9, DMATH9     20, 39
ZQINI    SMATH9, DMATH9     20, 39
ZQMUL    SMATH9, DMATH9     20, 39
ZQSTO    SMATH9, DMATH9     20, 39
ZREAL    SMATH7             17
DZREAL   DMATH7             36
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
                                      23
 
 
 

